aprovisionador,es_fraudulento
PRV52423,No
PRV56633,No
PRV52242,No
PRV57525,Yes
PRV54441,No
PRV54256,No
PRV55003,No
PRV52495,No
PRV51829,No
PRV57691,No
PRV57340,No
PRV52323,No
PRV52283,Yes
PRV56282,No
PRV55007,No
PRV54023,No
PRV51628,No
PRV54971,No
PRV56168,No
PRV54098,Yes
PRV52099,No
PRV56895,No
PRV56237,No
PRV57416,No
PRV54401,No
PRV51552,No
PRV54245,No
PRV54103,Yes
PRV57142,No
PRV55318,No
PRV52467,Yes
PRV57755,No
PRV54515,No
PRV51695,No
PRV55436,No
PRV51671,No
PRV56014,No
PRV55593,No
PRV57489,No
PRV51830,No
PRV55299,No
PRV54037,No
PRV51098,No
PRV54175,No
PRV53358,No
PRV53191,No
PRV54093,Yes
PRV53109,No
PRV56771,No
PRV55231,No
PRV51239,No
PRV51793,No
PRV52387,No
PRV56495,No
PRV55858,No
PRV56581,No
PRV56452,No
PRV55207,No
PRV53509,No
PRV55173,No
PRV55617,No
PRV55395,No
PRV54463,No
PRV54115,No
PRV56385,No
PRV52208,No
PRV52059,Yes
PRV53719,No
PRV56186,No
PRV55444,Yes
PRV57250,No
PRV51979,Yes
PRV57020,No
PRV56076,No
PRV57645,No
PRV56173,No
PRV56025,No
PRV55135,No
PRV56259,Yes
PRV57453,No
PRV56159,No
PRV56185,No
PRV51486,No
PRV52054,No
PRV57553,No
PRV51516,No
PRV56923,No
PRV51526,No
PRV56687,No
PRV55925,No
PRV56654,No
PRV52708,No
PRV53462,No
PRV53354,No
PRV56078,No
PRV51544,No
PRV56048,No
PRV57581,No
PRV52176,No
PRV55663,No
PRV53674,No
PRV55796,No
PRV56997,No
PRV53057,No
PRV51966,No
PRV55305,No
PRV57550,No
PRV53867,No
PRV51007,No
PRV55855,No
PRV52533,No
PRV57682,No
PRV53699,No
PRV51104,No
PRV54975,No
PRV53779,No
PRV57572,No
PRV56919,No
PRV57595,No
PRV52945,No
PRV56853,No
PRV55660,No
PRV54191,No
PRV57487,No
PRV52105,No
PRV52699,No
PRV51295,No
PRV56773,No
PRV51368,No
PRV55056,No
PRV51846,No
PRV54970,No
PRV57033,No
PRV52670,No
PRV53937,Yes
PRV55665,No
PRV53926,No
PRV52295,No
PRV55487,No
PRV54553,No
PRV55977,Yes
PRV54437,No
PRV56444,Yes
PRV54760,No
PRV54080,No
PRV51665,No
PRV55206,No
PRV52764,No
PRV52954,No
PRV55589,No
PRV55554,No
PRV55456,No
PRV53717,No
PRV54612,No
PRV52917,No
PRV52588,No
PRV54359,Yes
PRV51891,No
PRV57393,No
PRV51529,No
PRV54155,No
PRV51027,No
PRV52162,No
PRV53534,No
PRV55606,No
PRV54622,No
PRV53016,No
PRV54262,No
PRV52875,No
PRV54021,No
PRV53047,No
PRV57074,No
PRV54864,No
PRV55352,No
PRV54456,No
PRV53685,No
PRV52998,No
PRV56030,No
PRV52024,No
PRV56855,No
PRV56917,No
PRV51898,No
PRV56664,No
PRV52179,No
PRV51261,No
PRV52851,No
PRV54790,No
PRV54139,No
PRV56991,No
PRV56601,No
PRV55289,No
PRV56417,No
PRV57434,No
PRV51611,No
PRV55058,No
PRV55449,No
PRV56840,No
PRV53649,No
PRV53421,Yes
PRV56525,No
PRV53465,No
PRV55535,No
PRV53839,No
PRV56730,Yes
PRV53616,No
PRV51848,No
PRV54859,No
PRV52488,No
PRV51540,No
PRV55455,No
PRV53220,No
PRV53133,No
PRV57334,No
PRV55793,No
PRV56555,No
PRV57352,No
PRV57647,No
PRV55479,No
PRV53260,No
PRV53304,No
PRV56697,No
PRV51198,No
PRV53968,No
PRV52003,No
PRV54689,No
PRV54585,No
PRV57156,No
PRV51331,No
PRV55419,No
PRV52312,No
PRV52184,No
PRV55714,No
PRV55812,Yes
PRV56169,No
PRV57461,No
PRV52403,No
PRV52591,No
PRV53065,No
PRV51536,No
PRV53214,No
PRV52281,No
PRV53873,No
PRV57319,No
PRV54082,No
PRV56733,No
PRV52112,No
PRV56018,No
PRV54309,No
PRV53978,No
PRV55220,No
PRV56381,No
PRV53727,No
PRV52554,No
PRV54576,No
PRV54559,No
PRV51103,Yes
PRV53589,No
PRV57668,No
PRV53743,No
PRV52711,No
PRV57234,No
PRV56987,No
PRV55271,No
PRV54675,Yes
PRV51656,No
PRV51298,No
PRV54896,Yes
PRV55765,No
PRV54383,No
PRV56998,No
PRV56087,No
PRV51913,No
PRV54881,No
PRV51132,No
PRV54507,No
PRV54305,No
PRV56293,No
PRV52818,No
PRV56496,No
PRV52406,No
PRV55748,No
PRV51578,Yes
PRV54025,No
PRV56063,No
PRV53799,No
PRV54831,No
PRV51779,No
PRV57232,No
PRV52446,No
PRV51377,No
PRV56231,Yes
PRV51564,No
PRV56017,No
PRV51888,No
PRV56885,No
PRV55178,No
PRV52858,No
PRV55356,No
PRV56095,No
PRV54049,No
PRV51083,No
PRV53899,No
PRV51465,No
PRV52936,No
PRV54358,No
PRV52154,No
PRV56969,No
PRV54039,No
PRV55731,No
PRV55519,Yes
PRV57147,No
PRV54802,No
PRV53754,No
PRV51229,No
PRV57015,No
PRV52061,No
PRV55764,No
PRV51029,No
PRV52633,No
PRV57534,No
PRV52077,Yes
PRV55650,No
PRV55104,No
PRV51068,No
PRV53292,No
PRV51057,No
PRV52073,No
PRV57536,No
PRV56272,No
PRV51472,No
PRV56791,No
PRV53993,No
PRV51084,Yes
PRV52548,No
PRV52004,No
PRV55278,No
PRV55701,No
PRV52795,No
PRV55695,No
PRV55497,No
PRV54965,No
PRV57212,No
PRV54498,No
PRV51350,No
PRV55339,No
PRV57407,No
PRV53308,No
PRV52658,No
PRV56701,No
PRV55510,No
PRV51960,No
PRV51977,No
PRV57761,No
PRV57421,No
PRV55230,Yes
PRV56157,No
PRV54276,No
PRV52439,No
PRV57205,No
PRV54820,No
PRV57197,No
PRV53832,No
PRV57569,Yes
PRV57532,No
PRV55023,No
PRV52724,No
PRV57597,No
PRV55386,No
PRV52673,No
PRV56362,No
PRV55653,No
PRV51691,No
PRV56228,No
PRV51211,No
PRV55306,No
PRV57006,No
